"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2000",58.5838607572213,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2001",59.0818235759494,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2002",59.4186807753165,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2003",59.5797863924051,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2004",58.437401107595,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2005",61.3519481803798,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2006",63.871054193038,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2007",66.8588310917722,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2008",67.576483386076,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2009",70.2127571202532,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2010",76.7975000000001,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2011",81.5975,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2012",87.57,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2013",92.1000000000001,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2014",95.33,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2016",108.5325,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2017",114.26,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2018",119.64,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2019",126.6,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2020",136.31125,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2021",153.26249999742,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1991",31.9298332545684,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1992",34.0571462665407,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1993",35.8677422810335,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1994",38.1653135633271,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1995",39.8898650756144,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1996",40.755802299937,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1997",41.7370757718967,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1998",44.38614799937,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1999",47.5405028355389,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2000",50.1145149653435,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2001",52.54206836799,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2002",55.9051268903593,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2003",59.7606528827979,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2004",64.9526147605546,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2005",72.5362500000001,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2006",79.6152500000002,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2007",85.8187500000002,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2008",89.6052500000002,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2009",89.1830000000002,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2010",91.9775000000002,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2011",95.6757500000002,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2012",97.8135000000002,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2013",98.9620000000002,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2014",98.4170000000002,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2016",102.6405,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2017",106.372750000001,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2018",109.41525,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2019",113.77875,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2020",118.59525,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2021",127.057499999982,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2008",100.800000001582,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2009",96.9250000000002,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2010",95.2250000000001,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2011",95.2500000000001,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2012",93.8500000000002,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2013",93.8750000000001,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2014",96.1750000000002,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2016",107.15,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2017",119.7,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2018",130,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2019",141.9,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2020",153.85,
"CZE","HOUSECOST","NOMINAL","IDX2015","A","2021",184.225000000966,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","1991",30.062105163212,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","1992",29.5747400735751,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","1993",29.2894531918365,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","1994",32.8793131203814,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","1995",35.3755733355948,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","1996",39.1556245186321,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","1997",43.6726668128277,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","1998",47.5953614367343,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","1999",50.8048388562943,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2000",54.1094119031006,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2001",57.2713415090374,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2002",59.3396714016428,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2003",62.2909057272644,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2004",69.117422793557,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2005",82.9709574273937,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2006",102.925757314393,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2007",105.676764191911,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2008",100.200250500626,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2009",88.1972204930513,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2010",90.6729766824418,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2011",89.1222228055571,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2012",86.7469668674172,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2013",90.0977252443132,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2014",93.4987337468345,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2016",104.72651181628,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2017",109.377773444434,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2018",114.528786321966,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2019",117.529793824485,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2020",123.531308828272,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2021",138.009845032206,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","1991",50.4474625256673,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","1992",43.1327032854209,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","1993",38.7525400410677,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","1994",40.3247125256673,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","1995",39.5915359342915,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","1996",41.9422361396303,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","1997",48.5597217659137,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","1998",52.85107238193,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","1999",56.5793131416837,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2000",58.7826221765913,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2001",57.9455159137576,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2002",61.4262150924023,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2003",65.3207433264886,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2004",70.6513906570841,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2005",76.2499999999999,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2006",81.5549999999999,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2007",86.3649999999998,
